text,polarity,sentiment
b yveerangnayen nitiaayog great help community spread message every corner protect covid xe x xa,0.8,positive
b maskup big guy,0,neutral
b fda pr full approval mrna moderna spikevax covid vaccine nfda info xe x xa,0.35,positive
b together driving covid numbers houston wastewater virus load xe x xa,0,neutral
b butchl maggie_nickson symptoms around humanity inception vir xe x xa,0,neutral
b canada flutruxklan protest eye opener issues transcend borders ignorance knows xe x xa,0,neutral
b yveerangnayen mask important days good social work n maskupindia n maskup xe x xa,0.377777778,positive
b davidgura nope spotify obligation allow spread lies concerning deadly disease pr xe x xa,-0.2,negative
b coronavirus mutates unvaccinated maskup,0,neutral
b maskup monday highlighting owen scallin owen senior rhode island studying criminal justi xe x xa,-0.4,negative
b covid rates xf xf x x xf xf x xb maskup,0,neutral
b thelovemaster gavinnewsom magicjohnson maskup xe x xre tax cattle xe x xa world belongs elites,0,neutral
b limited supply masks testing kits available pickup david howe public library n maskup,0.10952381,positive
b richardgrenell gavinnewsom shelbygrad xf xf x x maskup tax cattle,0,neutral
b palmerrepo tpblue harsh n betofortexas nomorebigoil prisonfortrump stop republicandeathcult xe x xa,-0.2,negative
b abc xf xf x x maskup kids tax cattle,0,neutral
b dccra get involved causes support self governed n betofortexas nomorebigoil xe x xa,0,neutral
b week away nabe st annual international conference n nif plan person drop xe x xa,0,neutral
b lincconard tpblue betofortexas nomorebigoil prisonfortrump stop republicandeathcult gettheshots maskup xe x xa,0,neutral
b winterlude starts week ottawacity bring ur skates n n ottawaconvoy n getvaccinatedandboosted n maskup,0,neutral
b disavowtrump betoorourke betofortexas nomorebigoil prisonfortrump stop republicandeathcult gettheshots xe x xa,0,neutral
b cheynecarol painesister nomorebigoil prisonfortrump stop republicandeathcult gettheshots maskup xe x xa,0,neutral
b justmejanis painesister nomorebigoil prisonfortrump stop republicandeathcult gettheshots maskup votethemallout,0,neutral
b anyone else see irony fact people enthusiastic supporting first responders xe x xa,0.366666667,positive
b ksorbs one believes kevin soreballs one person n covid maskup vaccinemandate,0,neutral
b yveerangnayen nitiaayog spread awareness people n awarenesscampiagns n covidappropriatebehaviour n covid n maskup n maskupindia,0,neutral
b fpwellman artsbusiness nomorebigoil prisonfortrump stop republicandeathcult gettheshots maskup votethemallout,0,neutral
b tonyhussein nomorebigoil prisonfortrump stop republicandeathcult gettheshots maskup votethemallout,0,neutral
b zcohencnn artsbusiness gregclarycnn prisonfortrump stop republicandeathcult gettheshots maskup votethemallout,0,neutral
b please maskup get boosted asap n n,0,neutral
b percent first dose vaccination achieved upgovt today n n covid covid covid_ maskup masks,0.25,positive
b balatarp axios wuz gon na ignore children anyway nthat u kids throw tantrums xe x xa,0,neutral
b yveerangnayen good health something buy however extremely valuable savings account xe x xa,0.2875,positive
b literally one wearing masks anymore right schedule biden xe x xs free kn xe x xs arrive masks maskup,0.342857143,positive
b yveerangnayen great work pandemic keep youth veerangnayen members n covid n youthveerangnayen xe x xa,0.8,positive
b went workplace today n nwore mask n maskup,0,neutral
b yveerangnayen nitiaayog xc xainsure xc xagood health eat lightly breathe deeply live moderately exercise cultivate xe x xa,0.178787879,positive
b together driving covid numbers houston wastewater virus load xe x xa,0,neutral
b proper mask wearing plays important role protecting community n maskup hofstra pride xe x xa,0.2,positive
b join amp funchessedu tomorrow february already principal coffee chat n nwe allow xe x xa,0,neutral
b covid update new cases new deaths reported lucknow reported cases jhansi noida xe x xa,0.136363636,positive
b havin virus joke people please responsible individual jiminshi hearing sick makes xe x xa,-0.171428571,negative
b step restrain omicron strain mask world n ipledge readyforanything maskup,0,neutral
b xe x xc xe x xawe working study omicronba virus see whether current vaccine induced neutralizing antibodies neut xe x xa,0,neutral
b thank god jesus name amen n n besafe n xf xf x xab n bekind n nmatthew n nhugs xf xf x xe n n ibelieve miracles n grateful xe x xa,0,neutral
b xf xf xa xa myth covid vaccine causes variants n n xf xf x x focus fact covid vaccine create cause variants xe x xa,0,neutral
b yveerangnayen yes right n covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup xe x xa,0.285714286,positive
b wake self appointed kings queens think filthy peasants mask xe x xa newsom superbowl xe x xa,-0.8,negative
b sofistadium located inglewood also mask policy requiring fans maskup unless eating xe x xa,0,neutral
b jiminglobal bts_twt im xf xf x xad xf xf x xad people please responsible individual like bts n maskup n getwellsoonjimin n weloveyoujimin,0.1,positive
b covid cases continue spread rapidly fayette county vaccine showing effective keeping xe x xa,0.6,positive
b dssnewsupdates gurmeetramrahim great humanity work derasachasauda maskup,0.8,positive
b dssnewsupdates gurmeetramrahim great work n maskup,0.8,positive
b let sink nthen n getvaccinatedandboosted nand n maskup please,0,neutral
b nationfirstme voiceofpepole capt_amarinder go green dr choice n premium pain amp etching free ear loop ffp bi xe x xa,0.1,positive
b voiceofpepole capt_amarinder go green dr choice n premium pain amp etching free ear loop ffp bis isi niosh co xe x xa,0.1,positive
b greenswelfares gurmeetramrahim maskup prevend covid transmission,0,neutral
b dssnewsupdates gurmeetramrahim great humanity work dss volunteers n xf xf x xf xf xf x xf xf xf x xf xf xf x xf xf xf x xf xf xf x xf n maskup n mask n corona n coronavirus,0.8,positive
