text,polarity,sentiment
b rajasthanagainstcovidvaccinemandates xe x xt want mandatoryvaccination vaccinemandate vaccination,0,neutral
b pc india adult population fully vaccinated covid n n,0.1,positive
b please get ur second dose vaccination get booster u hv passed month since nd jab xe x xa,0,neutral
b primeminister narendramodi congratulates citizens successful vaccination adult population xe x xa,0.425,positive
b union health minister mansukhmandaviya saturday held discussion regarding promotion telemedicine xe x xa,0,neutral
b xe x xll never know many people dead rupertmurdoch xe x xs anti vax propaganda first line fo xe x xa,0.1125,positive
b covid_ covid covidvaccine mandate place obituaryoftheday pandemic vaccination,0,neutral
b esther missed polio vaccine children miss covid jabs via sbsnews polio vaccination,0,neutral
b person regular name string numbers amp zero followers pushing narrative know much xe x xa,0.1,positive
b prime minister narendramodi congratulates citizens full vaccination adults country xe x xa,0.35,positive
b canadian pm family moved safe location vaccine mandate protests canada justintrudeau vaccination xe x xa,0.5,positive
b giving information union health minister mansukh mandaviya said percent adult population india h xe x xa,0.1,positive
b pfizer worlds bad placebo death side effect prove wrong nhsk vaccinesideeffects xe x xa,-0.6,negative
b locations vaccination centres today th january southdelhifightscorona covid covid xe x xa,0,neutral
b rajasthanagainstcovidvaccinemandates rajasthannews rajasthan wake ashokgehlot xe xa xb xe xa xbe xe xa xc xe xa xb xe xa xd xe xa xa xe xa xbe xe xa xa_ xe xa xb xe xa xa xe xa xb xe xa xd xe xa x_ xe xa xb xe xa x xe xa xb xe xa xbe xe xa xc xe xa xb xe xa xd xe xa xa xe xa xbe xe xa xa xe x xa,0,neutral
b indian adults vaccinated covid says pmmodi n nread live updates n n narendramodi xe x xa,0.136363636,positive
b proud moment indian n vaccination n india n modi n bjp n mansukhmandaviya,0.8,positive
b congratulations countrymen important achievement fully vaccinated adults country u xe x xa,0.4,positive
b austria stafines march remaining unvaccinated via keene_sentinel xe x xa,0,neutral
b covid vaccination india pm narendra modi congratulates citizens india successfully vaccinates xe x xa,0.75,positive
b vaccination camp volunteers following pious teachings saint dr gurmeetramrahim singh ji insan kuruksh xe x xa,0,neutral
b india achieved vaccination adults feat indians proud congratulations healthc xe x xa,0.8,positive
b vaccination centers open n covid coronavirus srilanka deltavariant vaccinationdrivesl xe x xa,0,neutral
b eligible population country fully vaccinated says union health minister xe x xa,0,neutral
b xf xf x xbhere reasons xe x xt getting covid vaccination n n gt n n covid covid xe x xbc xe x xa,0,neutral
b adults fully vaccinated covid_ covid vaccination,0,neutral
b late prime minister narendra modi congratulates citizens full vaccination adults n vaccination,0.025,positive
b bengal achieves st dose vaccination school goers age group yrs n ncredit bartaman patr xe x xa,0,neutral
b covid india reports new coronavirus cases deaths amp recoveries last hours n nac xe x xa,0.068181818,positive
b magnitude achievement unparalleled looked like unthinkable sheer dedication efficiency xe x xa,-0.025,negative
b ever thought child flu find something else n n,0,neutral
b prime minister narendramodi congratulates citizens full vaccination adults country xe x xa,0.35,positive
b half virginia school districts defying youngkin xe x xs mask optional order kidsmatter xe x xgood parents xe x xa,-0.166666667,negative
b covidupdate india daily covid cases reduced marginally country reported lakh cases last h xe x xa,0,neutral
b ovni elhopkins kayburley nadhimzahawi went look study saw published ok jay xe x xa,0.5,positive
