text,polarity,sentiment
b msmagazine nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b today xe x xs truckers protest parliament hill become canada xe x xs answer sturgis superspreader sans smash mo xe x xa,0,neutral
b bust_magazine nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b audreymagazine nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow yo xe x xa,0,neutral
b apreudent kissing coronavirus,0,neutral
b thedailybeast nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b deaths due omicron high delta n n cdcgov nih thelancetinfdis cdc_ncezid infectdisnews xe x xa,0.0175,positive
b theweek nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nan xe x xa,0,neutral
b vanityfair nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b the_rumpus nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b utnereader nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b motherjones nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b cpho_canada justintrudeau coronavirus covid fordnation celliottability epdevilla jyduclos n nsweden decide xe x xa,0,neutral
b another loss due principle ignorance n nstate trooper told gov inslee dies battle cov xe x xa,-0.125,negative
b motherearthnews nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b theonion nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n na xe x xa,0,neutral
b virus links coronavirus vaccines coronavirus vaccines covidvaccines pandemic foxnews fake_vaccine xe x xa,0,neutral
b mental_floss nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b charges nurses made million fake vaccination cards n pandemic coronavirus vaccination,-0.5,negative
b eff justin canada enough convoy coronavirus covidisairborne freedomtruckers libertarian n,0,neutral
b usweekly nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n na xe x xa,0,neutral
b cases ndeaths nrecovered nactive cases ncomplete xe x xa,0,neutral
b okmagazine nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b star_news nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b natenquirer nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b nro nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nand f xe x xa,0,neutral
b commentary nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b commonwealmag nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b passengers travel dhaka airpoalone day n antigentesting airpo bangladesh xe x xa,0,neutral
b newsbusters nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b townhallcom nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b americanthinker nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b amspectator nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b therealnews nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b commondreams nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b new type coronavirus neocov spreads among bats south africa may pose threat humans future xe x xa,0.068181818,positive
b inthesetimesmag nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b theprospect nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b myocarditis withdrawthevaccine novaccinemandate genocide covid coronavirus coronavirus xf xf xa xa xf xf xf xbb xe x xd xe x x xef xb xf,0,neutral
b reason nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nand xe x xa,0,neutral
b craig_a_spencer nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b jennifernuzzo nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b t_inglesby nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b cmyeaton nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n na xe x xa,0,neutral
b mlipsitch nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b safe secure field adjusting time coronavirus clm magazine insurance,0.45,positive
b trvrb nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nand xe x xa,0,neutral
b bnodesk nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nan xe x xa,0,neutral
b vn nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nand xe x xa,0,neutral
b idsainfo nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n na xe x xa,0,neutral
b quiet saturday blog diary lockdown lockdowndiary coronavirus,0,neutral
b npratc nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow n nand xe x xa,0,neutral
b lata mangeshkar health update condition improved marginally remains observation time xe x xa,0,neutral
b morningedition nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow yo xe x xa,0,neutral
b wonderymedia nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b usmedicine nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
b psychiatristcns nfor valentinesday covid n roses red nviolets blue ni got vaccines nhow xe x xa,0,neutral
